half_life,ability,corr,n
90,aim,0.4523,1526
90,awareness,0.3607,1573
90,clutch,0.0998,1222
90,reaction,0.2694,1494
90,teamwork,0.2816,1526
90,utility,0.405,1573
180,aim,0.4736,1526
180,awareness,0.3731,1573
180,clutch,0.1004,1222
180,reaction,0.2965,1494
180,teamwork,0.2836,1526
180,utility,0.415,1573
270,aim,0.4751,1526
270,awareness,0.373,1573
270,clutch,0.1025,1222
270,reaction,0.298,1494
270,teamwork,0.289,1526
270,utility,0.4128,1573
365,aim,0.4787,1526
365,awareness,0.3748,1573
365,clutch,0.1022,1222
365,reaction,0.3005,1494
365,teamwork,0.2891,1526
365,utility,0.4037,1573
