model,n,rho_next,rho_180d,n_180d,cutoff,event,mae,entry_resid,rho_决斗者,rho_先锋,rho_控场,rho_哨卫,rho_callers,n_callers,resid_callers,resid_others,rho_180d_callers
current(rebuilt),0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
baseline-R2 hl=270,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
decay regime=off,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
decay regime=soft-sym,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
decay regime=soft-asym,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
stage regime=off,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
stage regime=soft-sym,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
stage regime=soft-asym,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
split regime=off,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
split regime=soft-sym,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
split regime=soft-asym,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
stage igl=0.25 grades=A,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
stage igl=0.25 grades=ABC,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
stage igl=0.35 grades=A,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
stage igl=0.35 grades=ABC,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
stage igl=0.45 grades=A,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
stage igl=0.45 grades=ABC,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
stage hon=3.0,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
stage hon=6.0,0,,,0,2025-01-10,vct-2025-china-kickoff,,,,,,,,,,,
current(rebuilt),43,0.4689,0.5371,43,2025-01-14,vct-2025-emea-kickoff,0.7786,-0.0656,-0.2571,0.6388,0.3704,0.4643,,3,0.1125,-0.081,
baseline-R2 hl=270,43,0.4701,0.5187,43,2025-01-14,vct-2025-emea-kickoff,0.7529,-0.0542,0.1429,0.5416,0.3915,0.6071,,3,0.4024,-0.1027,
decay regime=off,43,0.3357,0.4545,43,2025-01-14,vct-2025-emea-kickoff,0.8435,0.2148,0.0286,0.628,-0.0569,0.3637,,3,-0.8291,-0.0104,
decay regime=soft-sym,43,0.341,0.4425,43,2025-01-14,vct-2025-emea-kickoff,0.8481,0.2389,0.1429,0.628,-0.0569,0.3637,,3,-0.8344,-0.01,
decay regime=soft-asym,43,0.3357,0.4545,43,2025-01-14,vct-2025-emea-kickoff,0.8435,0.2148,0.0286,0.628,-0.0569,0.3637,,3,-0.8291,-0.0104,
stage regime=off,43,0.334,0.4513,43,2025-01-14,vct-2025-emea-kickoff,0.8472,0.0704,0.0286,0.6142,-0.1381,0.6301,,3,-0.6553,-0.0234,
stage regime=soft-sym,43,0.3341,0.4382,43,2025-01-14,vct-2025-emea-kickoff,0.852,0.1139,0.087,0.6142,-0.1381,0.6301,,3,-0.7034,-0.0198,
stage regime=soft-asym,43,0.3323,0.4511,43,2025-01-14,vct-2025-emea-kickoff,0.8483,0.0734,0.0286,0.6142,-0.1381,0.6301,,3,-0.6915,-0.0207,
split regime=off,43,0.3258,0.4342,43,2025-01-14,vct-2025-emea-kickoff,0.8422,0.1711,0.0286,0.6172,-0.0425,0.3637,,3,-0.7733,-0.0146,
split regime=soft-sym,43,0.3288,0.4179,43,2025-01-14,vct-2025-emea-kickoff,0.8486,0.1976,0.1429,0.6172,-0.0425,0.3637,,3,-0.8141,-0.0115,
