model,rho_next,rho_180d,mae,entry_resid,rho_callers,resid_callers,resid_others,rho_180d_callers,rho_决斗者,rho_先锋,rho_控场,rho_哨卫,n,n_180d,n_callers
current(rebuilt),0.4324,0.5348,0.8292,-0.0564,0.3792,0.0144,0.0696,0.5235,0.3969,0.4783,0.3542,0.3803,1502,1022,120
baseline-R2 hl=270,0.4541,0.5709,0.8112,-0.0965,0.3145,0.1683,0.0559,0.5711,0.4189,0.4589,0.4158,0.441,1502,1022,120
decay regime=off,0.3708,0.4467,0.8789,0.1187,0.2461,-0.2983,0.0961,0.224,0.4095,0.3578,0.2834,0.351,1502,1022,120
decay regime=soft-sym,0.3675,0.4436,0.8801,0.1188,0.2461,-0.2868,0.0952,0.224,0.4089,0.3548,0.2752,0.3527,1502,1022,120
decay regime=soft-asym,0.3705,0.4467,0.8794,0.1191,0.2461,-0.2971,0.096,0.224,0.4093,0.3582,0.2826,0.351,1502,1022,120
stage regime=off,0.3627,0.429,0.8858,0.1121,0.2646,-0.2489,0.0924,0.1916,0.4126,0.3472,0.2717,0.3601,1502,1022,120
stage regime=soft-sym,0.3597,0.4269,0.8869,0.1127,0.2646,-0.2402,0.0917,0.1916,0.4139,0.343,0.2631,0.3624,1502,1022,120
stage regime=soft-asym,0.3623,0.4294,0.8865,0.113,0.2646,-0.2482,0.0923,0.1916,0.4127,0.3482,0.2703,0.3601,1502,1022,120
split regime=off,0.3699,0.4446,0.8797,0.1127,0.2737,-0.2808,0.0948,0.1925,0.4068,0.3514,0.2872,0.3518,1502,1022,120
split regime=soft-sym,0.3668,0.4418,0.8811,0.1128,0.2737,-0.2713,0.094,0.1925,0.4065,0.3486,0.2792,0.3535,1502,1022,120
split regime=soft-asym,0.3695,0.4445,0.8803,0.1133,0.2737,-0.2808,0.0948,0.1925,0.4067,0.3518,0.2869,0.3518,1502,1022,120
stage igl=0.25 grades=A,0.3628,0.4268,0.8824,0.1026,0.2606,-0.1505,0.0831,0.2129,0.4147,0.3469,0.2656,0.3497,1502,1022,120
stage igl=0.25 grades=ABC,0.3643,0.4294,0.8815,0.101,0.2606,-0.1525,0.0833,0.2129,0.4149,0.3566,0.2661,0.3498,1502,1022,120
stage igl=0.35 grades=A,0.3626,0.4258,0.8815,0.0984,0.2652,-0.1072,0.0791,0.2241,0.4155,0.3452,0.2638,0.3459,1502,1022,120
stage igl=0.35 grades=ABC,0.365,0.4301,0.8799,0.0964,0.2652,-0.1095,0.0793,0.2241,0.4157,0.3569,0.2644,0.3459,1502,1022,120
stage igl=0.45 grades=A,0.3621,0.423,0.8804,0.0943,0.2846,-0.0648,0.0751,0.2276,0.4168,0.3478,0.2629,0.3396,1502,1022,120
stage igl=0.45 grades=ABC,0.3653,0.4294,0.8785,0.0912,0.2846,-0.0676,0.0753,0.2276,0.4171,0.3601,0.2636,0.3396,1502,1022,120
stage hon=3.0,0.3716,0.434,0.8788,0.1088,0.2531,-0.3263,0.0989,0.1672,0.4278,0.35,0.2904,0.3515,1502,1022,120
stage hon=6.0,0.3746,0.435,0.8779,0.1044,0.2802,-0.3576,0.1013,0.1829,0.4326,0.3521,0.2899,0.3465,1502,1022,120
