model,cutoff,event,n,covered,rho_r2,rho_acs,mae,entry_resid,rest_resid,rho_决斗者,rho_先锋,rho_控场,rho_哨卫,rho_lt300,n_lt300,rho_300to1000,n_300to1000,rho_gt1000,n_gt1000
current(rebuilt),2025-01-10,vct-2025-china-kickoff,0,0.0,,,,,,,,,,,,,,,
baseline-R2 hl=90,2025-01-10,vct-2025-china-kickoff,0,0.0,,,,,,,,,,,,,,,
baseline-R2 hl=180,2025-01-10,vct-2025-china-kickoff,0,0.0,,,,,,,,,,,,,,,
baseline-R2 hl=270,2025-01-10,vct-2025-china-kickoff,0,0.0,,,,,,,,,,,,,,,
baseline-R2 hl=365,2025-01-10,vct-2025-china-kickoff,0,0.0,,,,,,,,,,,,,,,
current(rebuilt),2025-01-14,vct-2025-emea-kickoff,38,0.6333,0.3868,0.3928,0.792,0.1739,0.0001,0.1,0.5586,0.2253,0.2,,1,-0.0103,16,0.5381,21
baseline-R2 hl=90,2025-01-14,vct-2025-emea-kickoff,38,0.6333,0.3929,0.4188,0.8139,0.1902,-0.0057,0.3,0.4849,0.5058,0.4286,0.2487,29,0.5883,9,,0
baseline-R2 hl=180,2025-01-14,vct-2025-emea-kickoff,38,0.6333,0.3916,0.4012,0.8015,0.193,-0.0067,0.3,0.5085,0.4184,0.0857,-0.1777,11,0.5963,24,,3
baseline-R2 hl=270,2025-01-14,vct-2025-emea-kickoff,38,0.6333,0.4015,0.3985,0.8026,0.1966,-0.008,0.3,0.5188,0.4184,0.0857,,1,0.4036,32,0.6,5
baseline-R2 hl=365,2025-01-14,vct-2025-emea-kickoff,38,0.6333,0.4051,0.4012,0.8024,0.1989,-0.0088,0.3,0.5188,0.4184,0.0857,,1,0.2733,28,0.5883,9
current(rebuilt),2025-01-16,vct-2025-americas-kickoff,44,0.7333,0.454,0.3261,0.7404,0.0226,0.2186,0.6611,0.5848,0.3212,-0.1667,,3,0.2859,16,0.2303,25
baseline-R2 hl=90,2025-01-16,vct-2025-americas-kickoff,44,0.7333,0.526,0.3716,0.7073,-0.1611,0.2799,0.7113,0.6376,0.2727,0.1429,0.4987,34,0.5382,10,,0
baseline-R2 hl=180,2025-01-16,vct-2025-americas-kickoff,44,0.7333,0.5165,0.3675,0.7216,-0.1164,0.265,0.7615,0.6867,0.2727,0.1429,0.5279,17,0.4315,27,,0
baseline-R2 hl=270,2025-01-16,vct-2025-americas-kickoff,44,0.7333,0.4998,0.3467,0.7243,-0.1005,0.2596,0.7615,0.6806,0.3212,0.0952,0.5357,7,0.4105,28,0.6471,9
baseline-R2 hl=365,2025-01-16,vct-2025-americas-kickoff,44,0.7333,0.5006,0.35,0.725,-0.092,0.2568,0.7615,0.6806,0.297,0.0952,0.6,6,0.363,25,0.6409,13
current(rebuilt),2025-01-17,vct-2025-pacific-kickoff,35,0.5738,0.4248,0.5687,0.7996,-0.1685,0.1567,0.251,0.3714,0.5758,0.4526,,2,0.3624,19,0.6189,14
baseline-R2 hl=90,2025-01-17,vct-2025-pacific-kickoff,35,0.5738,0.4086,0.5741,0.8821,-0.0682,0.1219,0.4352,0.3714,0.5152,0.3119,0.4324,27,0.5714,8,,0
baseline-R2 hl=180,2025-01-17,vct-2025-pacific-kickoff,35,0.5738,0.3914,0.5931,0.8692,-0.1553,0.1521,0.2762,0.3714,0.5152,0.3609,0.7066,8,0.3349,27,,0
baseline-R2 hl=270,2025-01-17,vct-2025-pacific-kickoff,35,0.5738,0.3916,0.5997,0.8666,-0.1839,0.162,0.2762,0.3714,0.5152,0.3731,,3,0.3812,28,,4
baseline-R2 hl=365,2025-01-17,vct-2025-pacific-kickoff,35,0.5738,0.3702,0.5931,0.8647,-0.1982,0.1669,0.2762,0.3714,0.5152,0.3731,,3,0.3663,24,0.5238,8
