model,half_life,kappa_scale,tier2_discount,rho_r2,rho_acs,mae,entry_resid,rest_resid,rho_决斗者,rho_先锋,rho_控场,rho_哨卫,rho_lt300,rho_300to1000,rho_gt1000,n
new hl=90 k×0.5 t2=0.0,90,0.5,0.0,0.3189,0.2543,0.9064,0.0707,0.0548,0.394,0.359,0.2224,0.3159,0.2566,0.2653,0.7247,1526
new hl=90 k×0.5 t2=0.1,90,0.5,0.1,0.3189,0.2543,0.9064,0.0707,0.0548,0.394,0.359,0.2224,0.3159,0.2566,0.2653,0.7247,1526
new hl=90 k×0.5 t2=0.25,90,0.5,0.25,0.3189,0.2543,0.9064,0.0707,0.0548,0.394,0.359,0.2224,0.3159,0.2566,0.2653,0.7247,1526
new hl=90 k×1.0 t2=0.0,90,1.0,0.0,0.3207,0.2611,0.9062,0.0502,0.0618,0.3987,0.3595,0.2209,0.3283,0.2536,0.2681,0.7247,1526
new hl=90 k×1.0 t2=0.1,90,1.0,0.1,0.3207,0.2611,0.9062,0.0502,0.0618,0.3987,0.3595,0.2209,0.3283,0.2536,0.2681,0.7247,1526
new hl=90 k×1.0 t2=0.25,90,1.0,0.25,0.3207,0.2611,0.9062,0.0502,0.0618,0.3987,0.3595,0.2209,0.3283,0.2536,0.2681,0.7247,1526
new hl=90 k×2.0 t2=0.0,90,2.0,0.0,0.3231,0.2679,0.9057,0.0224,0.0714,0.3952,0.3602,0.2177,0.3034,0.247,0.2762,0.7247,1526
new hl=90 k×2.0 t2=0.1,90,2.0,0.1,0.3231,0.2679,0.9057,0.0224,0.0714,0.3952,0.3602,0.2177,0.3034,0.247,0.2762,0.7247,1526
new hl=90 k×2.0 t2=0.25,90,2.0,0.25,0.3231,0.2679,0.9057,0.0224,0.0714,0.3952,0.3602,0.2177,0.3034,0.247,0.2762,0.7247,1526
new hl=180 k×0.5 t2=0.0,180,0.5,0.0,0.3452,0.272,0.8913,0.079,0.052,0.4048,0.3584,0.2464,0.2933,0.2448,0.2936,0.2396,1526
new hl=180 k×0.5 t2=0.1,180,0.5,0.1,0.3452,0.272,0.8913,0.079,0.052,0.4048,0.3584,0.2464,0.2933,0.2448,0.2936,0.2396,1526
new hl=180 k×0.5 t2=0.25,180,0.5,0.25,0.3452,0.272,0.8913,0.079,0.052,0.4048,0.3584,0.2464,0.2933,0.2448,0.2936,0.2396,1526
new hl=180 k×1.0 t2=0.0,180,1.0,0.0,0.3497,0.279,0.89,0.0643,0.0571,0.396,0.3621,0.2528,0.2955,0.2437,0.2976,0.2195,1526
new hl=180 k×1.0 t2=0.1,180,1.0,0.1,0.3497,0.279,0.89,0.0643,0.0571,0.396,0.3621,0.2528,0.2955,0.2437,0.2976,0.2195,1526
new hl=180 k×1.0 t2=0.25,180,1.0,0.25,0.3497,0.279,0.89,0.0643,0.0571,0.396,0.3621,0.2528,0.2955,0.2437,0.2976,0.2195,1526
new hl=180 k×2.0 t2=0.0,180,2.0,0.0,0.3565,0.2906,0.8887,0.0414,0.0649,0.401,0.3803,0.2576,0.2851,0.2448,0.3032,0.2182,1526
new hl=180 k×2.0 t2=0.1,180,2.0,0.1,0.3565,0.2906,0.8887,0.0414,0.0649,0.401,0.3803,0.2576,0.2851,0.2448,0.3032,0.2182,1526
new hl=180 k×2.0 t2=0.25,180,2.0,0.25,0.3565,0.2906,0.8887,0.0414,0.0649,0.401,0.3803,0.2576,0.2851,0.2448,0.3032,0.2182,1526
new hl=270 k×0.5 t2=0.0,270,0.5,0.0,0.3538,0.269,0.8885,0.1061,0.0427,0.4127,0.3579,0.26,0.309,0.2537,0.311,0.2412,1526
new hl=270 k×0.5 t2=0.1,270,0.5,0.1,0.3538,0.269,0.8885,0.1061,0.0427,0.4127,0.3579,0.26,0.309,0.2537,0.311,0.2412,1526
new hl=270 k×0.5 t2=0.25,270,0.5,0.25,0.3538,0.269,0.8885,0.1061,0.0427,0.4127,0.3579,0.26,0.309,0.2537,0.311,0.2412,1526
new hl=270 k×1.0 t2=0.0,270,1.0,0.0,0.3586,0.2748,0.8872,0.0951,0.0465,0.4171,0.3586,0.2668,0.3033,0.2407,0.3122,0.2507,1526
new hl=270 k×1.0 t2=0.1,270,1.0,0.1,0.3586,0.2748,0.8872,0.0951,0.0465,0.4171,0.3586,0.2668,0.3033,0.2407,0.3122,0.2507,1526
new hl=270 k×1.0 t2=0.25,270,1.0,0.25,0.3586,0.2748,0.8872,0.0951,0.0465,0.4171,0.3586,0.2668,0.3033,0.2407,0.3122,0.2507,1526
