ign,world,world_role,recent2y centered,full centered,events_full,first_event,flat centered,full global,events_2y
Chronicle,92,控场,72,74,21,2022-03-27,80,77,9
CHICHOO,94,控场,79,79,22,2022-08-14,84,78,10
Less,89,控场,65,66,19,2022-03-27,75,74,6
Boaster,65,控场,55,57,22,2022-03-27,68,68,8
Boo,78,控场,76,77,23,2022-01-16,79,84,9
Ethan,84,先锋,84,84,19,2022-03-27,89,86,9
nobody,77,先锋,59,59,22,2022-08-14,61,64,10
Nicc,84,先锋,93,92,13,2023-07-16,95,93,8
JoXJo,61,先锋,,68,7,2022-02-27,78,68,0
Jieni7,71,先锋,78,78,6,2025-05-04,75,71,6
stellar,61,哨卫,67,67,8,2022-03-27,73,66,1
primmie,91,决斗者,97,97,11,2022-02-27,97,96,7
WsLeo,79,先锋,84,83,6,2022-02-26,78,85,5
heat,75,哨卫,48,51,12,2022-03-27,59,56,4
Meteor,87,控场,64,66,25,2022-02-27,74,65,9
cNed,71,决斗者,48,51,16,2022-03-27,62,53,3
supamen,74,控场,53,54,12,2022-03-27,61,66,6
Xdll,65,先锋,45,45,11,2022-02-27,54,52,6
Spring,87,控场,68,68,11,2023-07-16,69,72,7
Rossy,84,控场,64,65,10,2022-03-27,73,74,4
