ign,world,coverage,current(rebuilt),decay,stage,split,stage + igl A .35,stage + igl A .35 + hon 6,role,events,regime_note,combat,igl_score,igl_weight,igl_grade,igl_note,honours,honours_note,form_z,recent_share,conf_aim,conf_reaction,conf_awareness,conf_utility,conf_clutch,conf_teamwork
Chronicle,92,"21 placements inside the 2024-26 cache, 29 outside it (older or non-VCT)",84,74,74,74,74,78,控场,21,none,74,,0.0,-,not-a-caller,3.66,"masters2023,masters2023,league2024,league2024,league2025 (+11 set aside)",0.7,0.18,0.84,0.91,0.84,0.84,0.93,0.84
CHICHOO,94,"21 placements inside the 2024-26 cache, 25 outside it (older or non-VCT)",84,81,79,81,79,85,控场,22,none,79,,0.0,-,not-a-caller,6.0,"kickoff2024,league2024,league2024,champions2024,kickoff2025,league2026 (+9 set aside)",0.32,0.18,0.84,0.87,0.84,0.84,0.81,0.84
Less,89,"19 placements inside the 2024-26 cache, 8 outside it (older or non-VCT)",84,66,66,65,66,67,控场,19,none,66,,0.0,-,not-a-caller,1.33,"league2023,kickoff2025 (+1 set aside)",-0.18,0.28,0.76,0.85,0.76,0.76,0.9,0.76
Boaster,65,"22 placements inside the 2024-26 cache, 24 outside it (older or non-VCT)",61,56,57,56,63,67,控场,22,none,57,74,0.35,A,"grade A, events 21+0, resid 0.59, z 0.15±0.13",3.66,"masters2023,masters2023,league2024,league2024,league2025 (+4 set aside)",-0.53,0.21,0.83,0.88,0.83,0.83,0.9,0.83
Boo,78,"22 placements inside the 2024-26 cache, 24 outside it (older or non-VCT)",73,80,77,79,75,76,控场,23,none,77,72,0.35,A,"grade A, events 16+0, resid 0.45, z 0.11±0.16",1.0,league2026 (+5 set aside),0.02,0.2,0.83,0.86,0.83,0.83,0.94,0.83
Ethan,84,"18 placements inside the 2024-26 cache, 18 outside it (older or non-VCT)",74,86,84,86,80,84,先锋,19,none,84,72,0.35,A,"grade A, events 14+5, resid 0.43, z 0.11±0.16",3.99,"champions2023,champions2025 (+3 set aside)",0.61,0.19,0.84,0.9,0.84,0.84,0.89,0.84
nobody,77,"21 placements inside the 2024-26 cache, 25 outside it (older or non-VCT)",65,61,59,61,63,69,先锋,22,none,59,72,0.35,A,"grade A, events 16+0, resid 0.44, z 0.11±0.16",6.0,"kickoff2024,league2024,league2024,champions2024,kickoff2025,league2026 (+9 set aside)",0.16,0.18,0.84,0.88,0.84,0.84,0.71,0.84
Jieni7,71,"6 placements inside the 2024-26 cache, 5 outside it (older or non-VCT)",64,81,78,81,78,79,控场,6,none,78,,0.0,-,not-a-caller,1.0,league2026 (+2 set aside),0.5,0.28,0.77,0.84,0.77,0.77,0.48,0.77
Nicc,84,"13 placements inside the 2024-26 cache, 18 outside it (older or non-VCT)",77,96,92,95,92,92,先锋,13,none,92,,0.0,none,"grade none, weight not applied",0.0,none (+2 set aside),0.46,0.24,0.82,0.81,0.82,0.82,0.5,0.82
primmie,91,"9 placements inside the 2024-26 cache, 6 outside it (older or non-VCT)",91,97,97,97,97,97,决斗者,11,none,97,,0.0,-,not-a-caller,0.0,unknown,-0.06,0.28,0.78,0.9,0.78,0.78,0.88,0.78
slowly,90,"6 placements inside the 2024-26 cache, 10 outside it (older or non-VCT)",92,95,94,95,94,95,决斗者,6,none,94,,0.0,-,not-a-caller,1.0,league2026,0.46,0.32,0.78,0.89,0.78,0.78,0.0,0.78
marteen,93,"11 placements inside the 2024-26 cache, 16 outside it (older or non-VCT)",91,97,97,97,97,98,决斗者,13,none,97,,0.0,-,not-a-caller,0.67,kickoff2024 (+1 set aside),0.57,0.24,0.77,0.9,0.77,0.77,0.87,0.77
WsLeo,79,"6 placements inside the 2024-26 cache, 7 outside it (older or non-VCT)",74,89,83,87,83,83,先锋,6,none,83,,0.0,B,"grade B, weight not applied",0.0,unknown,0.53,0.29,0.78,0.82,0.78,0.78,0.66,0.78
heat,75,"12 placements inside the 2024-26 cache, 15 outside it (older or non-VCT)",70,55,51,55,51,51,哨卫,12,none,51,,0.0,-,not-a-caller,0.0,none (+2 set aside),0.14,0.48,0.67,0.81,0.67,0.67,0.87,0.67
cNed,71,"16 placements inside the 2024-26 cache, 28 outside it (older or non-VCT)",70,53,51,52,51,51,决斗者,16,none,51,,0.0,-,not-a-caller,0.0,none (+12 set aside),,0.0,0.61,0.81,0.61,0.61,0.74,0.61
supamen,74,"12 placements inside the 2024-26 cache, 17 outside it (older or non-VCT)",68,55,54,54,54,54,控场,12,none,54,,0.0,-,not-a-caller,0.0,unknown,-0.01,0.29,0.74,0.83,0.74,0.74,0.88,0.74
Xdll,65,"10 placements inside the 2024-26 cache, 12 outside it (older or non-VCT)",58,46,45,46,45,45,先锋,11,none,45,,0.0,-,not-a-caller,0.0,none (+2 set aside),-0.03,0.33,0.7,0.77,0.7,0.7,0.86,0.7
Spring,87,"9 placements inside the 2024-26 cache, 31 outside it (older or non-VCT)",79,70,68,70,68,68,控场,11,none,68,,0.0,-,not-a-caller,0.0,none (+7 set aside),0.25,0.26,0.76,0.84,0.76,0.76,0.34,0.76
