model,cutoff,n,sd,share_abs_gt8,max_up,max_down
new hl=270 k×1.0 t2=0.0,2025-01-14,260,0.1517,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2025-01-16,260,0.1382,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2025-01-17,260,0.0874,0.0,1,0
new hl=270 k×1.0 t2=0.0,2025-02-20,260,2.7088,0.0077,11,-8
new hl=270 k×1.0 t2=0.0,2025-03-13,342,1.881,0.0088,16,-8
new hl=270 k×1.0 t2=0.0,2025-03-21,342,0.27,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2025-03-21,342,0.0,0.0,0,0
new hl=270 k×1.0 t2=0.0,2025-03-26,342,0.216,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2025-06-07,342,4.9388,0.0994,21,-15
new hl=270 k×1.0 t2=0.0,2025-07-03,367,1.196,0.0,4,-8
new hl=270 k×1.0 t2=0.0,2025-07-15,376,0.263,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2025-07-16,376,0.0515,0.0,1,0
new hl=270 k×1.0 t2=0.0,2025-07-18,376,0.1031,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2025-09-12,376,4.0766,0.0718,15,-16
new hl=270 k×1.0 t2=0.0,2026-01-15,404,1.6054,0.0,6,-8
new hl=270 k×1.0 t2=0.0,2026-01-20,405,0.1857,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2026-01-21,405,0.0701,0.0,0,-1
new hl=270 k×1.0 t2=0.0,2026-01-22,405,0.0703,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2026-02-28,405,2.6819,0.0148,12,-11
new hl=270 k×1.0 t2=0.0,2026-03-31,466,1.7689,0.0129,9,-14
new hl=270 k×1.0 t2=0.0,2026-04-01,466,0.1036,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2026-04-02,466,0.1036,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2026-04-10,466,0.2361,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2026-06-05,466,3.6912,0.0386,21,-10
new hl=270 k×1.0 t2=0.0,2026-07-08,492,1.4462,0.0041,8,-16
new hl=270 k×1.0 t2=0.0,2026-07-15,492,0.2296,0.0,1,-1
new hl=270 k×1.0 t2=0.0,2026-07-15,492,0.0,0.0,0,0
new hl=270 k×1.0 t2=0.0,2026-07-16,492,0.0638,0.0,1,-1
current(rebuilt),2025-01-14,260,0.0,0.0,0,0
current(rebuilt),2025-01-16,260,0.0,0.0,0,0
current(rebuilt),2025-01-17,260,0.0,0.0,0,0
current(rebuilt),2025-02-20,260,1.8067,0.0077,11,-10
current(rebuilt),2025-03-13,342,1.0989,0.0,6,-8
current(rebuilt),2025-03-21,342,0.1793,0.0,1,-1
current(rebuilt),2025-03-21,342,0.0,0.0,0,0
current(rebuilt),2025-03-26,342,0.143,0.0,1,-1
current(rebuilt),2025-06-07,342,5.3744,0.1023,21,-24
current(rebuilt),2025-07-03,367,1.2275,0.0054,10,-12
current(rebuilt),2025-07-15,376,0.1709,0.0,1,-1
current(rebuilt),2025-07-16,376,0.089,0.0,0,-1
current(rebuilt),2025-07-18,376,0.089,0.0,1,0
current(rebuilt),2025-09-12,376,3.2123,0.0239,25,-13
current(rebuilt),2026-01-15,404,0.9608,0.0,4,-6
current(rebuilt),2026-01-20,405,0.1486,0.0,1,-1
current(rebuilt),2026-01-21,405,0.0701,0.0,1,0
current(rebuilt),2026-01-22,405,0.0496,0.0,0,-1
current(rebuilt),2026-02-28,405,1.933,0.0099,9,-11
current(rebuilt),2026-03-31,466,1.2473,0.0086,4,-10
current(rebuilt),2026-04-01,466,0.0654,0.0,0,-1
current(rebuilt),2026-04-02,466,0.1034,0.0,1,-1
current(rebuilt),2026-04-10,466,0.1852,0.0,1,-1
current(rebuilt),2026-06-05,466,3.2974,0.0343,23,-12
current(rebuilt),2026-07-08,492,0.8115,0.0,8,-7
current(rebuilt),2026-07-15,492,0.1495,0.0,1,-1
current(rebuilt),2026-07-15,492,0.0,0.0,0,0
current(rebuilt),2026-07-16,492,0.1494,0.0,1,-1
