ign,club,world_role,data_role,world_overall,new_overall,current_rebuilt,delta,events,rounds_w,new_aim,new_reaction,new_awareness,new_utility,new_clutch,new_teamwork,world_aim,world_reaction,world_awareness,world_utility,world_clutch,world_teamwork,conf_aim,conf_reaction,conf_awareness,conf_utility,conf_clutch,conf_teamwork,flags
al0rante,PCF,控场,控场,74,53,71,-21,3,648,89,75,57,44,49,47,84,81,73,76,71,62,0.62,0.73,0.62,0.62,0.8,0.62,
Chronicle,VIT,控场,控场,92,74,86,-18,14,2053,88,91,80,56,66,65,88,87,92,93,89,88,0.84,0.91,0.84,0.84,0.93,0.84,
Less,KRÜ,控场,控场,89,71,85,-18,10,1150,89,82,71,60,66,61,91,86,88,92,89,84,0.74,0.83,0.74,0.74,0.89,0.74,
rushia,BLG,控场,控场,83,66,83,-17,8,1499,76,75,66,65,61,65,81,74,85,93,79,87,0.79,0.87,0.79,0.79,0.37,0.79,
5CM,TYL,决斗者,哨卫,53,70,56,17,2,81,68,69,70,74,71,72,54,50,57,57,50,56,0.17,0.16,0.17,0.17,0.0,0.17,clutch:no-data
CHICHOO,EDG,控场,控场,94,78,86,-16,16,2085,89,86,83,55,81,63,89,79,95,92,94,87,0.84,0.87,0.84,0.84,0.79,0.84,
S1Mon,EDG,控场,先锋,70,86,69,16,5,281,67,71,79,91,78,86,54,52,70,74,62,74,0.41,0.3,0.41,0.41,0.42,0.41,
Spring,WOL,控场,控场,87,71,83,-16,10,1282,88,77,63,68,64,66,89,85,80,91,83,84,0.76,0.84,0.76,0.76,0.32,0.76,
SUYGETSU,KC,控场,控场,84,68,81,-16,9,1156,77,78,80,55,70,63,81,77,88,88,82,83,0.74,0.82,0.74,0.74,0.89,0.74,
Meteor,T1,控场,哨卫,87,72,77,-15,15,1985,87,84,64,61,62,66,89,89,81,82,78,74,0.83,0.92,0.83,0.83,0.91,0.83,
YHchen,JDG,先锋,先锋,58,73,74,15,2,66,74,72,72,73,71,74,52,50,56,70,58,61,0.14,0.12,0.14,0.14,0.0,0.14,clutch:no-data
skuba,NRG,控场,控场,92,77,85,-15,7,1770,74,85,91,60,80,73,80,77,96,91,89,89,0.82,0.86,0.82,0.82,0.93,0.82,
happywei,XLG,控场,控场,91,76,89,-15,10,1845,99,96,76,59,56,67,96,85,92,94,88,89,0.82,0.89,0.82,0.82,0.74,0.82,
Desmo,FNC,先锋,决斗者,56,71,59,15,1,43,69,62,72,76,77,75,51,47,51,72,55,55,0.1,0.19,0.1,0.1,0.1,0.1,
PatMen,GE,控场,控场,83,69,79,-14,8,1850,89,84,68,59,65,65,83,81,84,85,78,82,0.82,0.89,0.82,0.82,0.9,0.82,
leaf,G2,控场,控场,88,75,85,-13,16,2290,87,79,64,60,91,65,89,92,85,89,94,86,0.85,0.93,0.85,0.85,0.92,0.85,
Scales,TYL,控场,控场,84,71,83,-13,6,1370,84,90,75,55,71,61,85,77,87,87,84,80,0.77,0.85,0.77,0.77,0.0,0.77,clutch:no-data
Rossy,ENVY,控场,控场,84,71,79,-13,8,945,72,68,74,69,75,71,76,73,85,89,86,85,0.7,0.74,0.7,0.7,0.89,0.7,
Ruxic,NAVI,控场,控场,92,79,91,-13,6,1081,92,88,76,71,59,76,92,87,93,94,87,94,0.73,0.83,0.73,0.73,0.89,0.73,
waituu,TYL,控场,控场,58,71,68,13,1,79,68,73,73,71,71,73,52,50,59,68,50,60,0.16,0.11,0.16,0.16,0.0,0.16,clutch:no-data
eeiu,FUR,先锋,先锋,88,76,85,-12,11,994,84,90,83,65,64,71,83,77,94,88,87,88,0.71,0.74,0.71,0.71,0.89,0.71,
deLb,TE,控场,控场,84,72,80,-12,9,1391,95,90,73,49,71,57,88,83,85,85,85,77,0.78,0.82,0.78,0.78,0.0,0.78,clutch:no-data
Nicc,DRG,先锋,先锋,84,96,81,12,12,1749,76,72,85,96,78,96,76,68,90,91,84,92,0.81,0.8,0.81,0.81,0.48,0.81,
Veqaj,FNC,控场,控场,89,77,86,-12,3,514,86,82,71,74,63,74,92,89,86,93,79,90,0.56,0.7,0.56,0.56,0.72,0.56,
XuNa,VL,先锋,先锋,86,74,84,-12,3,754,90,88,81,61,55,70,89,77,92,86,80,85,0.65,0.68,0.65,0.65,0.86,0.65,
skye,TS,哨卫,哨卫,54,66,62,12,1,43,73,74,66,67,61,66,51,47,52,64,57,54,0.1,0.16,0.1,0.1,0.23,0.1,
natz,TS,哨卫,哨卫,55,67,56,12,1,309,67,67,59,68,92,62,53,58,50,64,55,51,0.44,0.6,0.44,0.44,0.61,0.44,
Zellsis,C9,控场,控场,73,62,65,-11,14,1539,57,65,68,71,62,69,56,63,70,80,66,75,0.79,0.86,0.79,0.79,0.9,0.79,
keiko,NRG,控场,控场,92,81,89,-11,14,2074,97,96,74,52,77,64,95,94,93,92,91,88,0.84,0.92,0.84,0.84,0.92,0.84,
mada,NRG,决斗者,决斗者,86,75,81,-11,9,1888,72,77,73,70,80,74,88,92,77,73,88,76,0.83,0.94,0.83,0.83,0.85,0.83,
kamyk,JL,控场,控场,87,76,84,-11,5,628,80,73,74,68,85,72,85,81,89,90,87,89,0.61,0.7,0.61,0.61,0.82,0.61,
Kr1stal,GE,先锋,先锋,81,70,77,-11,7,1493,75,78,81,57,84,67,74,76,85,84,84,77,0.79,0.83,0.79,0.79,0.91,0.79,
K1ra,AG,决斗者,控场,82,71,82,-11,7,1456,84,78,65,62,69,68,84,77,84,79,89,84,0.78,0.88,0.78,0.78,0.35,0.78,
