ign,scheme,2025-kickoff,2025-stage-1,2025-stage-2,2026-kickoff,2026-stage-1,2026-stage-2,today
Chronicle,decay,90,86,81,75,75,73,74
Chronicle,stage,87,83,81,74,72,72,77
Chronicle,regime,87,83,76,71,69,71,76
CHICHOO,decay,83,89,92,85,85,78,78
CHICHOO,stage,79,83,85,79,76,76,79
CHICHOO,regime,79,86,87,79,69,72,79
Less,decay,68,70,66,69,72,73,71
Less,stage,70,72,69,70,71,71,69
Less,regime,70,72,69,70,71,71,69
Boaster,decay,67,70,69,66,65,69,64
Boaster,stage,66,70,69,65,62,66,62
Boaster,regime,66,70,72,65,57,66,59
Boo,decay,82,79,79,80,82,85,83
Boo,stage,82,79,78,79,80,79,79
Boo,regime,85,81,78,79,81,79,79
Ethan,decay,83,83,85,88,82,83,88
Ethan,stage,83,84,85,87,79,79,83
Ethan,regime,83,84,85,87,72,74,80
nobody,decay,67,63,64,67,61,67,68
nobody,stage,66,65,65,64,58,62,64
nobody,regime,66,65,65,62,52,61,64
BuZz,decay,73,79,75,70,73,78,82
BuZz,stage,72,77,72,67,70,73,77
BuZz,regime,72,77,72,61,67,73,83
trent,decay,74,79,88,86,90,93,94
trent,stage,72,78,84,80,83,86,88
trent,regime,72,78,88,80,83,87,90
keznit,decay,80,79,82,84,83,85,75
keznit,stage,82,78,81,81,79,80,73
keznit,regime,82,78,81,81,79,80,68
