basic|FUR|br|i|330|1.26|226|1.27|77|143.7|0.82|0.37|0.07|0.07|29
vo0kashu|DRG|ru|s|1597|1.24|225|1.25|74|152.1|0.81|0.23|0.08|0.05|29
marteen|M8|cz|d|1251|1.23|248|1.26|75|161.7|0.87|0.28|0.15|0.12|30
primmie|FS|th|d|1135|1.23|255|1.33|73|163.3|0.91|0.19|0.17|0.12|31
kozzy|EP|ro|d|104|1.22|238|1.30|68|157.7|0.87|0.21|0.15|0.13|30
Neon|LEV|ar|s|1367|1.21|219|1.38|76|142.6|0.80|0.24|0.15|0.09|26
azury|SGE|de||152|1.19|212|1.23|81|136.9|0.74|0.42|0.07|0.04|27
Foxy9|VL|kr|s|329|1.16|235|1.25|73|150.9|0.84|0.21|0.14|0.10|37
hiro|NAVI|tr|s|942|1.16|222|1.23|70|150.2|0.82|0.20|0.09|0.09|33
slowly|TYL|cn|c|1583|1.16|222|1.17|74|146.3|0.79|0.28|0.12|0.10|31
happywei|XLG|tw|c|1640|1.15|225|1.16|74|152.6|0.78|0.29|0.11|0.08|34
kamyk|JL|pl|c|246|1.14|208|1.16|74|136.1|0.75|0.31|0.07|0.08|30
iZu|T1|kr|d|1130|1.14|221|1.27|72|144.1|0.81|0.19|0.12|0.10|28
trexx|TL|ru|i|231|1.13|209|1.18|77|147.0|0.72|0.39|0.03|0.04|25
Jemkin|RRQ|ru|d|1098|1.13|220|1.20|72|140.8|0.80|0.15|0.17|0.13|28
lukxo|LOUD|br|s|715|1.13|229|1.22|69|148.3|0.83|0.20|0.14|0.12|27
Fizzy|SGE|pt|c|152|1.12|191|1.11|72|121.9|0.73|0.34|0.07|0.05|25
Less|KRÜ|br|c|630|1.12|218|1.18|69|145.1|0.78|0.27|0.10|0.10|29
keiko|NRG|gb|c|1637|1.12|216|1.15|72|140.9|0.78|0.25|0.11|0.09|32
trent|G2|us|i|1556|1.12|196|1.08|76|132.9|0.68|0.36|0.05|0.05|30
CHICHOO|EDG|cn|c|1763|1.12|203|1.14|72|138.6|0.73|0.28|0.08|0.07|29
Ruxic|NAVI|tr|c|942|1.12|216|1.12|73|141.2|0.76|0.33|0.09|0.08|26
f4ngeer|AG|ru|d|1372|1.12|231|1.19|70|147.1|0.82|0.17|0.19|0.14|31
runneR|JL|mk|d|246|1.12|218|1.09|71|149.5|0.76|0.29|0.11|0.11|28
Alfajer|FNC|tr|s|1236|1.11|232|1.16|70|155.1|0.84|0.17|0.15|0.12|35
Sayonara|VIT|md|i|1080|1.11|213|1.18|73|142.3|0.76|0.26|0.09|0.08|27
johnqt|SEN|ma|c|696|1.10|187|1.13|73|124.4|0.68|0.30|0.03|0.04|26
Meiy|DFM|jp|d|951|1.10|240|1.14|72|153.6|0.85|0.16|0.17|0.13|26
deLb|TE|id|c|1286|1.10|211|1.10|72|144.4|0.76|0.23|0.10|0.08|40
something|PRX|ru|d|2000|1.10|214|1.20|72|139.0|0.77|0.19|0.14|0.12|26
AAAAY|FPX|cn|c|1009|1.10|206|1.13|71|141.6|0.76|0.18|0.07|0.04|37
Erv|TYL|cn|c|1583|1.10|197|1.00|75|135.2|0.67|0.40|0.08|0.08|30
Inspire||us|c|256|1.09|200|1.11|69|136.3|0.71|0.22|0.08|0.09|33
Chronicle|VIT|ru|s|1360|1.09|213|1.19|73|142.9|0.75|0.23|0.10|0.10|23
brawk|NRG|us|i|1637|1.09|201|1.06|74|136.7|0.68|0.35|0.07|0.06|20
MONSTEERR|SGE|cz|s|152|1.09|225|1.10|71|154.0|0.79|0.25|0.09|0.09|33
Cryocells|100T|us|s|1149|1.09|209|1.19|72|134.9|0.76|0.18|0.11|0.09|26
whzy|BLG|cn|d|1167|1.09|236|1.18|73|149.6|0.84|0.22|0.17|0.14|23
invy|PRX|ph|i|2000|1.09|199|1.10|76|136.0|0.70|0.34|0.06|0.06|30
dgzin|EG|br|d|705|1.09|232|1.15|69|147.3|0.85|0.14|0.20|0.16|31
Veqaj|FNC|fr|c|635|1.09|221|1.10|72|143.3|0.75|0.37|0.10|0.09|33
OXY|C9|us|d|794|1.09|243|1.14|70|152.3|0.87|0.16|0.20|0.19|26
Verno|MIBR|us|i|916|1.09|199|1.10|76|131.5|0.69|0.31|0.06|0.06|29
HYUNMIN|KRX|kr|d|1054|1.09|229|1.10|72|153.2|0.80|0.22|0.11|0.12|29
Karon|GEN|kr|c|860|1.09|206|1.09|74|136.3|0.74|0.29|0.07|0.06|32
