# 号角 web.haojiao.cc 战队页，CN 赛区 12 队，读自页面本身载入的阵容数据，2026-09-02
# club|ign|real name|icon path on files.haojiao.cc|is_sub|is_inactive|haojiao player id
EDG|Pipii|叶国庆|/cms/20260901/1788255343729.png|0|0|KVZ9lK3PfISI1Nse
EDG|JsTT|韦健韬|/cms/20260901/1788255192435.png|0|0|t5DzAdm27SasKMma
EDG|Takashi|杨雅博|/cms/20260901/1788254659719.png|0|0|pAHJjZViYhWaBulB
EDG|Toast|张庭恺|/cms/20260901/1788255986882.png|0|0|g5eIqfICExELT3F8
EDG|youngX|杨轩|/cms/20260901/1788255959606.png|0|0|9nUg6yFY2VbR8udI
EDG|stew|박영찬（朴楹赞）|/cms/20260330/1774856465846.png|0|0|6BfUGfMryqROHo3u
EDG|Jieni7|张君泰|/cms/20260320/1773993088445.png|0|0|55QpUbz7eqiAriAW
EDG|CHICHOO|万顺治|/cms/20260128/1769580599147.png|0|0|OkARoS17U86SnGbG
EDG|nobody|王森旭|/cms/20260128/1769580573955.png|0|0|e9SBp4UPUSzSx9F6
EDG|ZmjjKK|郑永康|/cms/20260128/1769580552531.png|0|0|tdCCAx4WWFzTYc6K
EDG|Smoggy|张钊|/cms/20260128/1769580533974.png|0|0|Iz8LRJH2eOUsyrYM
FPX|zhubibi|张熙墨|/cms/20260520/1779265195147.png|0|0|rLBz2PkyIQ6DkvuA
FPX|AAAAY|张杨|/cms/20260709/1783566036339.png|0|0|L84FQemuhvJjDn8f
FPX|Setrod|Ou Tai-keng（欧泰赓）|/cms/20260709/1783566051715.png|0|0|Zex6TjGFAv3SIdM7
FPX|coconut|钟弘祖|/cms/20260709/1783565965603.png|0|0|dAKpRMdNr9Cuhxva
FPX|Xlele|赵炎博|/cms/20260709/1783565949919.png|0|0|8QoxKOjp63uAKWxE
DRG|T1an|罗天乐|/cms/20260901/1788255599866.png|0|0|7JMuCsCm2dSjpaYz
DRG|Verse|周子钧|/cms/20260708/1783477888302.png|0|0|SJdNSSDdKofSR9AC
DRG|Life|瞿东豪|/cms/20260708/1783477875995.png|0|0|78peL1nSCkOZAKSS
DRG|SpiritZ1|林定宇|/cms/20260708/1783477862112.png|0|0|QubZiNt93IJHaHlA
DRG|vo0kashu|Илья Ушаков|/cms/20260708/1783477847848.png|0|0|s8vx5z78JbDUPg5T
DRG|Nicc|邵亦群|/cms/20260708/1783477824706.png|0|0|P7FPVHZ5MRhtRCkp
DRG|Flex1n|罗瑞|/cms/20260121/1768978838686.png|0|1|4BxYL6RKRmap2qDc
BLG|XiaoFeng|谢承峰|/cms/20260901/1788256664698.png|0|0|byup3MVt5QTebzNK
BLG|lac|梁傲楚|/cms/20260901/1788252277733.png|0|0|bBVtN5jp8CFoP1ow
BLG|egggg|李俊旺|/cms/20260901/1788252187641.png|0|0|TYWYov2TeY6Tl3Tw
BLG|Nephh|陈凯文|/cms/20260123/1769148272060.png|0|0|GKKhfPqPABqYtO7D
BLG|FT|闫帅博|/cms/20260708/1783495617851.png|0|0|JNZZ2ubZ1pBo84Rf
BLG|yilai|顾依铭|/cms/20260402/1775132807982.png|0|1|CuxVu29l6iSL3V4z
BLG|bud|杨韧余|/cms/20260123/1769148165868.png|1|0|EkM4t2rZ4vo76BF6
BLG|Rushia|王晓杰|/cms/20260123/1769148191765.png|0|0|eKWnwjjDetO3Sbid
BLG|whzy|王昊哲|/cms/20260123/1769148319483.png|0|0|k6GSUBPPK1dFrbxx
BLG|Knight|刘宇翔|/cms/20260123/1769148295733.png|0|0|P5N8jm1A4i4CRCfh
AG|Sakura|胡哲鑫|/cms/20260901/1788257832984.png|0|0|hGh5HIhYm1FASvzp
AG|Xp1Aner|王亚迪|/cms/20260901/1788257652477.png|0|0|RBr96HnJcFqcgraF
AG|Never|高大为|/cms/20260901/1788257409656.png|0|0|c6DbYSyv1IwzwuD1
AG|sanye|何户裕|/cms/20260901/1788257919068.png|0|0|w76sAUHqY3p9VO2q
AG|Tensions3Y|郭亭杉|/cms/20260901/1788257891990.png|0|0|ZNcna9idioTgH4BI
AG|f4ngeer|Смирнов Роман（罗曼 斯米尔诺夫）|/cms/20260123/1769147613075.png|0|0|KFmt6w1137Wq5w5P
AG|Bai|张泽洋|/cms/20250310/1741585860499.png|0|0|CtzwGLQNTmm5va3u
AG|Shr1mp|杨勇|/cms/20260123/1769147904029.png|0|0|ZtxJhFVV6H3BiW86
AG|iamgrq|高锐琦|/cms/20260123/1769147873164.png|0|0|Sz3ps2NtzrI66e4Z
AG|K1ra|黄志豪|/cms/20260123/1769147926742.png|0|0|l29H4TKdnbB6UiKY
JDG|Babyblue|耿浩然|/cms/20250106/1736143576087.jpg|0|0|nwgbf882WgvFnUWb
JDG|YUN|邓允力|/cms/20260901/1788253072944.png|0|0|P4uLxdVtRW8OdriP
JDG|NYsleeptight|邢奕祥|/cms/20260901/1788252864868.png|0|0|rEeB9jqB6ysfP8xG
JDG|Silent|赵昌浩|/cms/20260901/1788252802965.png|0|0|tojy9cG4EFfEPxr5
JDG|Link7|杨伯万|/cms/20260901/1788252735455.png|0|0|k6zwDNTf5FZE58Wh
JDG|zhe|牛哲|/cms/20260330/1774856493217.png|0|0|7gaNyz9s3QdsqiKG
JDG|Yuicaw|黃湧傑|/cms/20260330/1774856479095.png|0|0|Z4bLunRsenQVZybI
JDG|BerLIN|張柏霖|/cms/20260709/1783566631491.png|0|0|BneB7tjQT9uPEuPC
JDG|crownfisher|李翱|/cms/20260709/1783566612496.png|0|0|oO7qRv6lx2Li14Vc
JDG|kklin|张梓凌|/cms/20260123/1769149185280.png|1|1|e9mIoCNtfmmbGAd4
JDG|jkuro|杨浩聪|/cms/20260330/1774856452380.png|0|0|DeSJ7Sy1BEP9Ybcy
NOVA|nono|马起涛|/cms/20260901/1788255222657.png|0|0|GdSDMHDsDvaOZpOO
NOVA|OnGod|??|/cms/20260901/1788255182323.png|0|0|Uyh3swnRDaPBhZ2M
NOVA|Leo7|??|/cms/20260901/1788255139883.png|0|0|d3OtAcPZsNrw63lb
NOVA|Doomer|??|/cms/20260901/1788255104394.png|0|0|pvOI4H3tutJM9r6U
NOVA|swagzor|Михаил Ванюшин（米哈伊尔 万纽申）|/cms/20260330/1774856644993.png|0|0|dqnithSzRadiW32n
NOVA|kodeth|BO XUAN FINN LI|/cms/20260709/1783566398289.png|1|0|J7qaNQKmSF4elJgg
NOVA|cb|王晴川|/cms/20260709/1783566376030.png|0|0|2gvTTzVGI6HTTcp8
NOVA|Green|邱建智|/cms/20260330/1774855954986.png|1|0|ELHLRfCJlWMJMFB7
NOVA|GuanG|光洪霖|/cms/20260330/1774855986064.png|0|0|ScpMeMTfFhBMwFaB
NOVA|Ezeir|赵泽骏|/cms/20260330/1774855145635.png|0|0|CiHR4Im1lhdIJxyn
NOVA|qiutiaN|慕英毕强|/cms/20260330/1774856038272.png|0|0|jAgsk8UMRLC6Y5lQ
TE|Toosy|吴雨峰|/cms/20260806/1786010502582.png|0|0|QyqlGqkrW4D2h5fs
TE|Fkey|陈轲|/cms/20260709/1783566519339.png|0|0|4fM6FrCkv7lCJ8pO
TE|LuoK1ng|张展鹏|/cms/20260709/1783566496706.png|0|0|BpdDUVSCHotQKf6i
TE|FengF|宋学峰|/cms/20260709/1783566475592.png|0|0|JKcZF9fQgPdsDT4n
TE|Kai|卢智楠|/cms/20260402/1775124449989.png|0|0|T4pVLdclSGhrQKU4
TE|Abo|韩博皓|/cms/20260402/1775124391487.png|0|0|P5Pj5fzSJxVv6k3m
TE|DeLb|陈韋全|/cms/20260402/1775124373481.png|0|0|q4ND9WS7wbxR3fWe
TYL|GlXad|陈晓涛|/cms/20240906/1725603767004.png|0|0|8BU114jUaWvakiS5
TYL|5yyc|吴勇辰|/cms/20260901/1788252593250.png|0|0|DS3FcPNCMlGWHFG3
TYL|NOTSOBAD|赵韦亓|/cms/20240906/1725603589758.png|0|0|gZIof6ylff3JMtrd
TYL|Melody|蔡秋东|/cms/20260901/1788252495344.png|0|0|bfgxeHWywksBpHwl
TYL|Scales|张震|/cms/20260330/1774856289707.png|0|0|2vZmMBE1HdJ8VTaS
TYL|Splash|Moses Christophe Jonathan（摩西）|/cms/20260330/1774856323111.png|0|0|AOQT4VrtDAP7dx5Q
TYL|xihe|彭文博|/cms/20260709/1783566097715.png|1|0|FInrryRahAg7s7RW
TYL|SiuFatBB|龐加曦|/cms/20260709/1783566119849.png|0|0|gACfcsesRrljswfW
TYL|SLOWLY|孙科伦|/cms/20260330/1774856305886.png|0|0|ulyjdDiTOIMO9Yo8
TYL|Erv|沈志伟|/cms/20260330/1774856254784.png|0|0|FyMR3oePIUC96mYD
XLG|symmetry|??|/cms/20260901/1788254273293.png|0|0|1xOMFhMmnWAWalm1
XLG|Jyy|杨靳睿|/cms/20260520/1779265924162.png|0|0|sM5ONR3iw1At99d2
XLG|xiaoyu|陳宇翔|/cms/20260520/1779265350757.png|0|0|PSLHEua2RL8iD2qF
XLG|Yu1|单钰涵|/cms/20260417/1776397373539.png|0|0|TAkBrT6w55admTTo
XLG|lysoar|梁优好|/cms/20260128/1769581464754.png|0|0|yfdC94E7DqSLAaNh
XLG|WsLeo|黄品維|/cms/20260128/1769581244405.png|0|0|ulVNw3whpjOw2cYk
XLG|Sharks|邱戈|/cms/20260520/1779265549834.png|1|0|PqH5CVfmuRnDPmbo
XLG|happywei|邓闵维|/cms/20260128/1769581826829.png|0|0|HW3WN3eoQJx4Ofbg
XLG|Rarga|Артур Чурюмов|/cms/20260128/1769581802829.png|0|0|PktOcymi71l4Q3sJ
XLG|NoMan|文家杰|/cms/20260128/1769581481834.png|0|0|mr75ha5AtnZDOrsZ
TEC|Coco|丁达建|/cms/20260123/1769149803292.png|0|0|i76jGDVE9iKZHpzu
TEC|lucas|路昀坤|/cms/20260123/1769149782040.png|0|0|qyRwm5JHAaZfJS6C
TEC|ra1ny|陈葆桓|/cms/20260520/1779265672411.png|0|0|Cy6ZyTPEYEuDTh9m
TEC|Spitfires|辛明阳|/cms/20260401/1775023626186.png|0|0|gFvQJOdR18CRvNHz
TEC|Haodong|郭浩东|/cms/20260123/1769149844911.png|0|0|UaeoyJ14G7Kn8aWp
TEC|Dynamite|赵梓浩|/cms/20260123/1769149822309.png|0|0|BLSwLTc5jSsuWPjp
WOL|Spring|刘俊霆|/cms/20260402/1775124545520.png|0|0|NePQnLljQrpfnOtO
WOL|glacier|梁哲恺|/cms/20260402/1775124269716.png|0|0|IFOkddyLCAkTZF3A
WOL|Yosemite|王磊|/cms/20260402/1775124565823.png|0|0|RjVbalQvmfuJmM8C
WOL|aluba|钟皓钧|/cms/20260709/1783566697677.png|0|0|kfMQF8ZgTvJcVWhG
WOL|Deryeon|Derrick Yee Dong Ting（余东庭）|/cms/20260708/1783495375090.png|0|0|GxwLN21yohtdfUkK
WOL|nothing|谢君正|/cms/20260708/1783495303226.png|1|0|aRpHlhEGg7YJdbgN
# 中国赛区（次级）7 队，同一页面的 teams 列表，2026-09-02
AT|Chaos|陈俊霖|/cms/20260901/1788253361721.png|1|0|MVgMDnbtxNRnE8Ka
AT|Pink|李松原|/cms/20260901/1788253337862.png|1|0|pH24QRZH7YBpPu4a
AT|Monk|王皓宇|/cms/20260731/1785480339486.png|0|0|C5na1IqW4VPmsbij
AT|Eren|杨曾威|/cms/20260731/1785480277099.png|0|0|QqUn65mpzMzlkJwW
AT|Folykiki|陈宇杰|/cms/20260731/1785480259786.png|0|0|JonjYkLSH7qgpf4L
AT|Layla|Hoàng Đức Hùng|/cms/20260731/1785480239235.png|0|0|JCUxvWjOUeHpyy5s
AT|dingwei|魏定伟|/cms/20260731/1785480217097.png|0|0|YpSjQgE7338SSdUw
AQ|K1ndred|邵熠宸||1|0|bR2ZSl9Tvp85VggP
AQ|Youjun|赖右骏|/cms/20260410/1775808440569.png|1|0|pr3QJBZsm7Awrsmu
AQ|5CM|丁宜鹏|/cms/20260723/1784783351084.png|0|0|8UCOlqNuHQwcJHin
AQ|FFs|梁卓南|/cms/20260410/1775808481075.png|0|0|wqRxzVwYF1LY72pL
AQ|dannyy|王鹏程|/cms/20260410/1775808460578.png|0|0|qQScxdpaGlzTPdyg
